Security,A200.AX,IEU.AX,IJP.AX,IOO.AX,IVV.AX,MTUM.AX,MVW.AX,PortfolioValue,QHAL.AX,QLTY.AX,QUAL.AX,SMH,SMLL.AX,SPY,VAS.AX,VDHG.AX,VGE.AX,VGS.AX,VLU,VLUE.AX,VMIN.AX,VSO.AX,VVLU.AX,w
A200.AX,5.739520344154118e-05,2.5592406759186503e-07,3.7451289179936363e-06,1.2840246957798804e-06,1.4077374958323404e-06,1.9485725017965493e-06,6.994531627381472e-07,1.1195063908320038e-06,1.1298040322052018e-06,1.4492418206991587e-06,2.193306666467691e-06,1.1793851906727291e-05,2.0150712733904118e-07,7.221866997575213e-06,1.2508115293729087e-06,1.018502933555668e-06,2.9783601267935086e-08,1.317944090782643e-06,8.267280207544109e-06,1.9794686207142067e-06,4.3511029381349895e-07,5.840781210754956e-07,2.44540660332324e-06,0.0
IEU.AX,2.5592406759186513e-07,4.691561831203117e-05,1.8673574286498636e-06,3.9557037361436593e-07,2.700403678411245e-07,6.831448467929913e-07,-1.2411720508688504e-07,1.0454283144519208e-07,2.194923180430944e-07,5.382658645701297e-07,8.679393238976448e-07,5.696269339185306e-06,-1.7424556959838696e-07,3.6294092015690996e-06,2.873440101316722e-07,2.2468533245932997e-07,3.1937759150246136e-07,3.999804061884525e-07,4.603714995433744e-06,9.832135473339252e-07,-1.1616051673322713e-07,2.003271848039692e-08,9.489038805895721e-07,0.0
IJP.AX,3.7451289179936363e-06,1.8673574286498632e-06,0.00014428637568471671,4.594076817591677e-06,4.5755235421796046e-06,7.199208727100252e-06,4.3841886352602126e-07,3.7010010347901856e-06,2.4846804030146595e-06,5.798554245344534e-06,9.076882132522208e-06,6.390085261380738e-05,-2.2722328921057194e-06,3.475246799797633e-05,3.891512054855282e-06,3.0212763578848135e-06,1.302247568425222e-06,4.910180384181496e-06,4.014026725551056e-05,9.25878779391242e-06,-8.88531835941457e-08,5.667755062368111e-07,1.0178908381849288e-05,0.0
IOO.AX,1.2840246957798802e-06,3.9557037361436604e-07,4.594076817591676e-06,8.750447180150641e-05,2.030987083177779e-06,2.2664355002626095e-06,9.102429626762757e-07,1.0989775450865743e-06,1.7069465049174538e-06,1.9211692313425395e-06,3.0924555154813643e-06,9.647820305382343e-06,-4.88537923746198e-07,4.901427058878612e-06,1.2916425129302343e-06,1.278075516015175e-06,-4.22987420845251e-07,1.855371917216129e-06,6.2252976910572185e-06,2.8840857546036086e-06,5.05731583876149e-07,3.920782118245451e-07,3.18512478577001e-06,0.0
IVV.AX,1.40773749583234e-06,2.700403678411246e-07,4.575523542179604e-06,2.030987083177779e-06,8.164034055307677e-05,2.108218318690081e-06,1.6332705926879059e-06,1.3310498255945467e-06,1.834065400123741e-06,2.1371022925039347e-06,3.434577617447453e-06,3.485353078291021e-06,-5.907324538361673e-07,1.7801996865306859e-06,1.4122339169096384e-06,1.4525715503439485e-06,-8.74706933962514e-07,2.140216003459374e-06,4.4883621511720465e-06,3.1646141469087495e-06,7.797124290448361e-07,5.465486619017724e-07,3.6433397715935663e-06,0.0
MTUM.AX,1.9485725017965493e-06,6.831448467929912e-07,7.199208727100254e-06,2.2664355002626095e-06,2.108218318690081e-06,8.051019059823823e-05,1.8538167496988845e-07,1.6702408562828928e-06,1.7975382073633752e-06,2.449810174215503e-06,3.815882807474241e-06,3.06031863583002e-05,-2.661990206105613e-07,1.647844870262833e-05,1.9563663780834775e-06,1.5602943846318303e-06,5.02298290173707e-07,2.1455328240288166e-06,1.6543549642297507e-05,3.5335276680569923e-06,2.8870778246365064e-07,4.874477850420209e-07,4.021562649268224e-06,0.0
MVW.AX,6.994531627381469e-07,-1.2411720508688504e-07,4.384188635260203e-07,9.102429626762757e-07,1.6332705926879065e-06,1.853816749698885e-07,9.332449960014033e-05,4.909035178061803e-07,1.345304054332876e-06,1.0134839633316016e-06,1.658746894826012e-06,-2.1420604079603943e-05,3.026117072026483e-07,-9.575424248293177e-06,6.811297149717002e-07,9.27222754968174e-07,-1.3985477685617625e-06,1.213559790005954e-06,-4.846048037360616e-06,1.3133952388454e-06,1.1707128206967013e-06,8.007980594763567e-07,1.8225076029124408e-06,0.0
PortfolioValue,1.1195063908320038e-06,1.0454283144519205e-07,3.701001034790185e-06,1.0989775450865743e-06,1.3310498255945473e-06,1.6702408562828928e-06,4.909035178061805e-07,5.319525048998378e-05,6.380655386396123e-07,1.3372936340412656e-06,1.9991548380257796e-06,1.4491975363263188e-05,-3.080563933455895e-07,7.498566182153528e-06,1.1087977676496437e-06,8.395060352663356e-07,-1.4930924398609336e-08,1.2200787549570238e-06,8.05732930057654e-06,1.8654720418321233e-06,2.358625284239894e-07,3.466127760368455e-07,2.348392558409277e-06,0.0
QHAL.AX,1.1298040322052015e-06,2.1949231804309448e-07,2.4846804030146595e-06,1.706946504917454e-06,1.8340654001237407e-06,1.7975382073633754e-06,1.3453040543328758e-06,6.380655386396118e-07,0.00013178200211951915,1.4575050481822352e-06,2.39011026275913e-06,-1.513655631026227e-06,2.895312662507852e-07,-2.836145412902508e-07,1.0993911581765898e-06,1.2446720952399136e-06,-7.777715311264595e-07,1.5401276008704863e-06,7.228697929267417e-07,1.957753954081243e-06,8.942556021720548e-07,6.359373980775288e-07,2.2350569679040457e-06,0.0
QLTY.AX,1.4492418206991583e-06,5.382658645701299e-07,5.798554245344534e-06,1.921169231342539e-06,2.137102292503935e-06,2.449810174215503e-06,1.0134839633316016e-06,1.3372936340412654e-06,1.4575050481822352e-06,7.139870968142392e-05,3.5433323600630117e-06,1.2658815350324727e-05,-6.500688031579334e-07,7.236845167796939e-06,1.4826267114480953e-06,1.3434585401432482e-06,-1.8726301341482215e-07,2.053838210016464e-06,1.0106258965621536e-05,3.4506349621965002e-06,4.167619900281498e-07,4.4425178579397077e-07,3.874952322407364e-06,0.0
QUAL.AX,2.193306666467691e-06,8.679393238976445e-07,9.076882132522206e-06,3.0924555154813635e-06,3.4345776174474525e-06,3.815882807474241e-06,1.6587468948260117e-06,1.9991548380257796e-06,2.39011026275913e-06,3.543332360063012e-06,7.597244357303185e-05,1.870165067395789e-05,-1.2933356006612407e-06,1.0238782839427615e-05,2.260981544222257e-06,2.1198032791952866e-06,-4.378773133826811e-07,3.298083455535843e-06,1.482959630220231e-05,5.495810675506473e-06,6.890885941564091e-07,5.536100566110676e-07,6.113377851766946e-06,0.0
SMH,1.1793851906727296e-05,5.696269339185306e-06,6.390085261380738e-05,9.647820305382346e-06,3.4853530782910214e-06,3.060318635830021e-05,-2.1420604079603937e-05,1.4491975363263193e-05,-1.5136556310262278e-06,1.2658815350324725e-05,1.870165067395789e-05,0.000688243350862452,-8.855307896027903e-06,0.0002582657509954653,1.2148360068000714e-05,4.662788411602381e-06,1.8225207667079397e-05,7.877801681640447e-06,0.0002165368191452857,1.8284865529842184e-05,-8.675157491048652e-06,-4.443877936291053e-06,2.0454246487914705e-05,0.0
SMLL.AX,2.0150712733904105e-07,-1.7424556959838707e-07,-2.272232892105719e-06,-4.885379237461979e-07,-5.907324538361667e-07,-2.661990206105612e-07,3.026117072026487e-07,-3.080563933455897e-07,2.8953126625078535e-07,-6.500688031579332e-07,-1.2933356006612407e-06,-8.85530789602791e-06,0.00012004024851202798,-1.168252952107124e-06,1.0319805214769933e-07,-1.734655191459176e-08,2.7348803500017403e-07,-6.460942358879217e-07,-1.5017404131126938e-06,-1.3763582252720022e-06,4.03849382031292e-07,9.26377751337751e-07,-1.2164755935279474e-06,0.0
SPY,7.221866997575213e-06,3.629409201569098e-06,3.4752467997976325e-05,4.901427058878612e-06,1.7801996865306859e-06,1.647844870262833e-05,-9.575424248293176e-06,7.498566182153529e-06,-2.836145412902523e-07,7.2368451677969385e-06,1.0238782839427613e-05,0.00025826575099546523,-1.1682529521071223e-06,0.00017366728788286277,7.358099239533504e-06,3.0416651043693103e-06,1.0550359274278881e-05,4.307681217791106e-06,0.00012327521346396057,1.0486158380870125e-05,-3.900459151367435e-06,-2.0676388702578381e-07,1.2142547586277161e-05,0.0
VAS.AX,1.2508115293729083e-06,2.8734401013167235e-07,3.891512054855282e-06,1.2916425129302343e-06,1.4122339169096386e-06,1.9563663780834775e-06,6.811297149717e-07,1.1087977676496433e-06,1.0993911581765898e-06,1.4826267114480953e-06,2.2609815442222564e-06,1.2148360068000712e-05,1.0319805214769909e-07,7.358099239533505e-06,5.751745635333533e-05,1.0113296712463478e-06,4.865816796138157e-08,1.3412549731454843e-06,8.56348027248375e-06,2.0609292053951646e-06,4.0621633228874176e-07,5.400237924793699e-07,2.5144732830566224e-06,0.0
VDHG.AX,1.0185029335556678e-06,2.2468533245932997e-07,3.021276357884813e-06,1.2780755160151748e-06,1.4525715503439485e-06,1.5602943846318303e-06,9.272227549681737e-07,8.395060352663353e-07,1.2446720952399134e-06,1.343458540143248e-06,2.1198032791952866e-06,4.662788411602381e-06,-1.7346551914592112e-08,3.0416651043693107e-06,1.0113296712463478e-06,4.36830462107014e-05,-3.2719215182297914e-07,1.301558053882709e-06,4.496282822696508e-06,1.9066826940385614e-06,5.135208731126339e-07,4.719153911643394e-07,2.247160026059387e-06,0.0
VGE.AX,2.9783601267935234e-08,3.1937759150246126e-07,1.302247568425222e-06,-4.229874208452511e-07,-8.74706933962514e-07,5.022982901737066e-07,-1.398547768561762e-06,-1.4930924398609244e-08,-7.777715311264596e-07,-1.8726301341482226e-07,-4.3787731338268133e-07,1.8225207667079394e-05,2.7348803500017413e-07,1.0550359274278885e-05,4.8658167961381464e-08,-3.271921518229792e-07,6.0749427509432434e-05,-4.850008451400621e-07,9.27601909850817e-06,-1.8576448795645196e-07,-6.736741425294782e-07,-1.382740188377006e-07,-2.778708452485834e-07,0.0
VGS.AX,1.317944090782643e-06,3.999804061884527e-07,4.910180384181496e-06,1.855371917216129e-06,2.140216003459374e-06,2.1455328240288166e-06,1.2135597900059537e-06,1.2200787549570238e-06,1.5401276008704865e-06,2.0538382100164642e-06,3.298083455535843e-06,7.877801681640446e-06,-6.460942358879216e-07,4.307681217791107e-06,1.3412549731454843e-06,1.3015580538827093e-06,-4.85000845140062e-07,6.14600419554606e-05,6.9359195107284236e-06,3.1186761732848074e-06,5.47053715357769e-07,4.2033581222755844e-07,3.5269775495245582e-06,0.0
VLU,8.267280207544109e-06,4.603714995433744e-06,4.014026725551057e-05,6.225297691057217e-06,4.4883621511720465e-06,1.6543549642297507e-05,-4.846048037360619e-06,8.057329300576542e-06,7.228697929267404e-07,1.0106258965621534e-05,1.4829596302202304e-05,0.00021653681914528576,-1.5017404131126907e-06,0.00012327521346396057,8.56348027248375e-06,4.496282822696508e-06,9.276019098508171e-06,6.935919510728423e-06,0.00016503790242560946,1.5671028061353076e-05,-2.6664290457244743e-06,1.2480733596939463e-06,1.8063554440551917e-05,0.0
VLUE.AX,1.979468620714207e-06,9.832135473339255e-07,9.258787793912419e-06,2.8840857546036086e-06,3.16461414690875e-06,3.5335276680569923e-06,1.3133952388454002e-06,1.8654720418321231e-06,1.9577539540812438e-06,3.450634962196501e-06,5.495810675506474e-06,1.8284865529842184e-05,-1.3763582252720022e-06,1.0486158380870126e-05,2.060929205395165e-06,1.9066826940385618e-06,-1.857644879564518e-07,3.1186761732848082e-06,1.567102806135308e-05,6.148520804479543e-05,3.5977596666091465e-07,5.132139748801604e-07,6.093760443194098e-06,0.0
VMIN.AX,4.351102938134986e-07,-1.1616051673322712e-07,-8.885318359414595e-08,5.057315838761488e-07,7.797124290448361e-07,2.8870778246365053e-07,1.170712820696701e-06,2.3586252842398913e-07,8.942556021720546e-07,4.167619900281498e-07,6.890885941564092e-07,-8.67515749104865e-06,4.038493820312915e-07,-3.900459151367434e-06,4.0621633228874176e-07,5.135208731126339e-07,-6.736741425294783e-07,5.47053715357769e-07,-2.6664290457244734e-06,3.5977596666091444e-07,3.952302872309527e-05,4.394838155033815e-07,6.343324675788263e-07,0.0
VSO.AX,5.840781210754955e-07,2.0032718480396838e-08,5.667755062368114e-07,3.9207821182454493e-07,5.465486619017729e-07,4.874477850420209e-07,8.007980594763567e-07,3.466127760368455e-07,6.359373980775288e-07,4.44251785793971e-07,5.536100566110676e-07,-4.443877936291053e-06,9.26377751337751e-07,-2.0676388702578334e-07,5.400237924793701e-07,4.719153911643396e-07,-1.3827401883770055e-07,4.2033581222755817e-07,1.2480733596939461e-06,5.132139748801605e-07,4.394838155033817e-07,8.475154141831887e-05,7.836514713839114e-07,0.0
VVLU.AX,2.44540660332324e-06,9.489038805895724e-07,1.0178908381849287e-05,3.18512478577001e-06,3.6433397715935663e-06,4.021562649268224e-06,1.8225076029124412e-06,2.348392558409277e-06,2.235056967904046e-06,3.874952322407365e-06,6.113377851766946e-06,2.0454246487914705e-05,-1.216475593527947e-06,1.2142547586277161e-05,2.5144732830566224e-06,2.247160026059388e-06,-2.778708452485833e-07,3.5269775495245587e-06,1.8063554440551914e-05,6.093760443194098e-06,6.343324675788264e-07,7.836514713839117e-07,8.921976125093954e-05,0.0
w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
